1,0.0,3,"Braund, Mr. Owen Harris",male,22.0
3,1.0,3,"Heikkinen, Miss. Laina",female,26.0
4,1.0,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female,35.0
6,0.0,3,"Moran, Mr. James",male,
7,0.0,1,"McCarthy, Mr. Timothy J",male,54.0
9,1.0,3,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",female,27.0
10,1.0,2,"Nasser, Mrs. Nicholas (Adele Achem)",female,14.0
11,1.0,3,"Sandstrom, Miss. Marguerite Rut",female,4.0
12,1.0,1,"Bonnell, Miss. Elizabeth",female,58.0
13,0.0,3,"Saundercock, Mr. William Henry",male,20.0
14,0.0,3,"Andersson, Mr. Anders Johan",male,39.0
15,0.0,3,"Vestrom, Miss. Hulda Amanda Adolfina",female,14.0
16,1.0,2,"Hewlett, Mrs. (Mary D Kingcome) ",female,55.0
17,0.0,3,"Rice, Master. Eugene",male,2.0
19,0.0,3,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",female,31.0
21,0.0,2,"Fynney, Mr. Joseph J",male,35.0
22,1.0,2,"Beesley, Mr. Lawrence",male,34.0
25,0.0,3,"Palsson, Miss. Torborg Danira",female,8.0
26,1.0,3,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",female,38.0
27,0.0,3,"Emir, Mr. Farred Chehab",male,
30,0.0,3,"Todoroff, Mr. Lalio",male,
31,0.0,1,"Uruchurtu, Don. Manuel E",male,40.0
32,1.0,1,"Spencer, Mrs. William Augustus (Marie Eugenie)",female,
33,1.0,3,"Glynn, Miss. Mary Agatha",female,
34,0.0,2,"Wheadon, Mr. Edward H",male,66.0
35,0.0,1,"Meyer, Mr. Edgar Joseph",male,28.0
36,0.0,1,"Holverson, Mr. Alexander Oskar",male,42.0
37,1.0,3,"Mamee, Mr. Hanna",male,
38,0.0,3,"Cann, Mr. Ernest Charles",male,21.0
39,0.0,3,"Vander Planke, Miss. Augusta Maria",female,18.0
41,0.0,3,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",female,40.0
42,0.0,2,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",female,27.0
44,1.0,2,"Laroche, Miss. Simonne Marie Anne Andree",female,3.0
45,1.0,3,"Devaney, Miss. Margaret Delia",female,19.0
46,0.0,3,"Rogers, Mr. William John",male,
47,0.0,3,"Lennon, Mr. Denis",male,
48,1.0,3,"O'Driscoll, Miss. Bridget",female,
49,0.0,3,"Samaan, Mr. Youssef",male,
51,0.0,3,"Panula, Master. Juha Niilo",male,7.0
52,0.0,3,"Nosworthy, Mr. Richard Cater",male,21.0
53,1.0,1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",female,49.0
54,1.0,2,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",female,29.0
56,1.0,1,"Woolner, Mr. Hugh",male,
57,1.0,2,"Rugg, Miss. Emily",female,21.0
58,0.0,3,"Novel, Mr. Mansouer",male,28.5
60,0.0,3,"Goodwin, Master. William Frederick",male,11.0
62,1.0,1,"Icard, Miss. Amelie",female,38.0
63,0.0,1,"Harris, Mr. Henry Birkhardt",male,45.0
64,0.0,3,"Skoog, Master. Harald",male,4.0
65,0.0,1,"Stewart, Mr. Albert A",male,
66,1.0,3,"Moubarek, Master. Gerios",male,
67,1.0,2,"Nye, Mrs. (Elizabeth Ramell)",female,29.0
68,0.0,3,"Crease, Mr. Ernest James",male,19.0
69,1.0,3,"Andersson, Miss. Erna Alexandra",female,17.0
71,0.0,2,"Jenkin, Mr. Stephen Curnow",male,32.0
72,0.0,3,"Goodwin, Miss. Lillian Amy",female,16.0
73,0.0,2,"Hood, Mr. Ambrose Jr",male,21.0
75,1.0,3,"Bing, Mr. Lee",male,32.0
76,0.0,3,"Moen, Mr. Sigurd Hansen",male,25.0
77,0.0,3,"Staneff, Mr. Ivan",male,
78,0.0,3,"Moutal, Mr. Rahamin Haim",male,
79,1.0,2,"Caldwell, Master. Alden Gates",male,0.83
81,0.0,3,"Waelens, Mr. Achille",male,22.0
82,1.0,3,"Sheerlinck, Mr. Jan Baptist",male,29.0
83,1.0,3,"McDermott, Miss. Brigdet Delia",female,
84,0.0,1,"Carrau, Mr. Francisco M",male,28.0
85,1.0,2,"Ilett, Miss. Bertha",female,17.0
86,1.0,3,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",female,33.0
87,0.0,3,"Ford, Mr. William Neal",male,16.0
89,1.0,1,"Fortune, Miss. Mabel Helen",female,23.0
90,0.0,3,"Celotti, Mr. Francesco",male,24.0
91,0.0,3,"Christmann, Mr. Emil",male,29.0
92,0.0,3,"Andreasson, Mr. Paul Edvin",male,20.0
94,0.0,3,"Dean, Mr. Bertram Frank",male,26.0
95,0.0,3,"Coxon, Mr. Daniel",male,59.0
96,0.0,3,"Shorney, Mr. Charles Joseph",male,
97,0.0,1,"Goldschmidt, Mr. George B",male,71.0
98,1.0,1,"Greenfield, Mr. William Bertram",male,23.0
99,1.0,2,"Doling, Mrs. John T (Ada Julia Bone)",female,34.0
100,0.0,2,"Kantor, Mr. Sinai",male,34.0
101,0.0,3,"Petranec, Miss. Matilda",female,28.0
102,0.0,3,"Petroff, Mr. Pastcho (""Pentcho"")",male,
103,0.0,1,"White, Mr. Richard Frasar",male,21.0
104,0.0,3,"Johansson, Mr. Gustaf Joel",male,33.0
105,0.0,3,"Gustafsson, Mr. Anders Vilhelm",male,37.0
106,0.0,3,"Mionoff, Mr. Stoytcho",male,28.0
107,1.0,3,"Salkjelsvik, Miss. Anna Kristine",female,21.0
108,1.0,3,"Moss, Mr. Albert Johan",male,
109,0.0,3,"Rekic, Mr. Tido",male,38.0
113,0.0,3,"Barton, Mr. David John",male,22.0
114,0.0,3,"Jussila, Miss. Katriina",female,20.0
115,0.0,3,"Attalah, Miss. Malake",female,17.0
116,0.0,3,"Pekoniemi, Mr. Edvard",male,21.0
117,0.0,3,"Connors, Mr. Patrick",male,70.5
118,0.0,2,"Turpin, Mr. William John Robert",male,29.0
119,0.0,1,"Baxter, Mr. Quigg Edmond",male,24.0
120,0.0,3,"Andersson, Miss. Ellis Anna Maria",female,2.0
121,0.0,2,"Hickman, Mr. Stanley George",male,21.0
122,0.0,3,"Moore, Mr. Leonard Charles",male,
123,0.0,2,"Nasser, Mr. Nicholas",male,32.5
124,1.0,2,"Webber, Miss. Susan",female,32.5
125,0.0,1,"White, Mr. Percival Wayland",male,54.0
127,0.0,3,"McMahon, Mr. Martin",male,
128,1.0,3,"Madsen, Mr. Fridtjof Arne",male,24.0
129,1.0,3,"Peter, Miss. Anna",female,
130,0.0,3,"Ekstrom, Mr. Johan",male,45.0
131,0.0,3,"Drazenoic, Mr. Jozef",male,33.0
132,0.0,3,"Coelho, Mr. Domingos Fernandeo",male,20.0
133,0.0,3,"Robins, Mrs. Alexander A (Grace Charity Laury)",female,47.0
134,1.0,2,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",female,29.0
135,0.0,2,"Sobey, Mr. Samuel James Hayden",male,25.0
136,0.0,2,"Richard, Mr. Emile",male,23.0
137,1.0,1,"Newsom, Miss. Helen Monypeny",female,19.0
138,0.0,1,"Futrelle, Mr. Jacques Heath",male,37.0
139,0.0,3,"Osen, Mr. Olaf Elon",male,16.0
140,0.0,1,"Giglio, Mr. Victor",male,24.0
141,0.0,3,"Boulos, Mrs. Joseph (Sultana)",female,
142,1.0,3,"Nysten, Miss. Anna Sofia",female,22.0
143,1.0,3,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",female,24.0
144,0.0,3,"Burke, Mr. Jeremiah",male,19.0
146,0.0,2,"Nicholls, Mr. Joseph Charles",male,19.0
148,0.0,3,"Ford, Miss. Robina Maggie ""Ruby""",female,9.0
149,0.0,2,"Navratil, Mr. Michel (""Louis M Hoffman"")",male,36.5
150,0.0,2,"Byles, Rev. Thomas Roussel Davids",male,42.0
151,0.0,2,"Bateman, Rev. Robert James",male,51.0
152,1.0,1,"Pears, Mrs. Thomas (Edith Wearne)",female,22.0
153,0.0,3,"Meo, Mr. Alfonzo",male,55.5
154,0.0,3,"van Billiard, Mr. Austin Blyler",male,40.5
155,0.0,3,"Olsen, Mr. Ole Martin",male,
156,0.0,1,"Williams, Mr. Charles Duane",male,51.0
157,1.0,3,"Gilnagh, Miss. Katherine ""Katie""",female,16.0
158,0.0,3,"Corn, Mr. Harry",male,30.0
159,0.0,3,"Smiljanic, Mr. Mile",male,
160,0.0,3,"Sage, Master. Thomas Henry",male,
162,1.0,2,"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",female,40.0
163,0.0,3,"Bengtsson, Mr. John Viktor",male,26.0
164,0.0,3,"Calic, Mr. Jovo",male,17.0
165,0.0,3,"Panula, Master. Eino Viljami",male,1.0
166,1.0,3,"Goldsmith, Master. Frank John William ""Frankie""",male,9.0
167,1.0,1,"Chibnall, Mrs. (Edith Martha Bowerman)",female,
169,0.0,1,"Baumann, Mr. John D",male,
170,0.0,3,"Ling, Mr. Lee",male,28.0
171,0.0,1,"Van der hoef, Mr. Wyckoff",male,61.0
172,0.0,3,"Rice, Master. Arthur",male,4.0
173,1.0,3,"Johnson, Miss. Eleanor Ileen",female,1.0
175,0.0,1,"Smith, Mr. James Clinch",male,56.0
176,0.0,3,"Klasen, Mr. Klas Albin",male,18.0
177,0.0,3,"Lefebre, Master. Henry Forbes",male,
